datasetSpeciesName,acceptedName,namingAuthority
Festuca rubra s.l.,Festuca rubra L.,Panarctic Flora Project Checklist
Festuca saximontana [s. saximontana,Festuca saximontana ssp. saximontana Rydb.,Panarctic Flora Project Checklist
Fritillaria camschatcensis,Fritillaria camschatcensis (L.) Ker Gawl.,Panarctic Flora Project Checklist
Galium boreale,Galium boreale L.,Panarctic Flora Project Checklist
Galium kamtschaticum,Galium kamtschaticum Steller ex Roem. & Schult.,Panarctic Flora Project Checklist
Galium trifidum,Galium trifidum L.,Panarctic Flora Project Checklist
Galium trifidum s. trifidum,Galium trifidum ssp. trifidum L.,Panarctic Flora Project Checklist
Galium trifidum ssp. trifidum,Galium trifidum ssp. trifidum L.,Panarctic Flora Project Checklist
Galium triflorum,Galium triflorum Michx.,Panarctic Flora Project Checklist
Gentiana glauca,Gentiana glauca Pall.,Panarctic Flora Project Checklist
Gentiana species,Gentiana L.,Panarctic Flora Project Checklist
Gentiana prostrata,Gentiana prostrata Haenke,Panarctic Flora Project Checklist
Gentianella amarella s. acuta,Gentianella amarella ssp. acuta (Michx.) J.M. Gillett,Panarctic Flora Project Checklist
Gentianella propinqua,Gentianella propinqua (Richardson) J.M. Gillett,Panarctic Flora Project Checklist
Gentianella propinqua s. arctophila,Gentianella propinqua ssp. arctophila (Griseb.) Tzvelev,Panarctic Flora Project Checklist
Gentianella propinqua s. propinqua,Gentianella propinqua ssp. propinqua (Richardson) J.M. Gillett,Panarctic Flora Project Checklist
Gentiana propinqua ssp. propinqua,Gentianella propinqua ssp. propinqua (Richardson) J.M. Gillett,Panarctic Flora Project Checklist
Geranium erianthum,Geranium erianthum DC.,Panarctic Flora Project Checklist
Geum calthifolium,Geum calthifolium Menzies ex Sm.,Panarctic Flora Project Checklist
Geum glaciale,Geum glaciale Adams ex Fisch.,Panarctic Flora Project Checklist
Geum rossii,Geum rossii (R. Br.) Ser.,Panarctic Flora Project Checklist
Glyceria species,Glyceria R. Br.,Panarctic Flora Project Checklist
Glyceria sp.,Glyceria R. Br.,Panarctic Flora Project Checklist
Goodyera repens,Goodyera repens (L.) R. Br.,Panarctic Flora Project Checklist
Gymnocarpium dryopteris,Gymnocarpium dryopteris (L.) Newman,Panarctic Flora Project Checklist
Harrimanella stelleriana,Harrimanella stelleriana (Pall.) Coville,Panarctic Flora Project Checklist
Hedysarum americanum,Hedysarum americanum (Michx.) Britton,Panarctic Flora Project Checklist
Hedysarum alpinum s.l.,Hedysarum americanum (Michx.) Britton,Panarctic Flora Project Checklist
Hedysarum mackenzii,Hedysarum americanum (Michx.) Britton,Panarctic Flora Project Checklist
Hedysarum hedysaroides,Hedysarum hedysaroides (L.) Schinz & Thell.,Panarctic Flora Project Checklist
Hedysarum mackenziei,Hedysarum mackenziei Richardson,Panarctic Flora Project Checklist
Heracleum lanatum,Heracleum lanatum Michx.,Panarctic Flora Project Checklist
Hierochloë  alpina,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Hierochloë alpina,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Anthoxanthum monticola ssp. alpinum,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Hierochlo� alpina,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Hierochloδ alpina,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Hierochlo_ alpina,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Hierochlo' alpina,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Hierochloe alpina,Hierochloë alpina (Sw. ex Willd.) Roem. & Schult.,Panarctic Flora Project Checklist
Hierochloë odorata,Hierochloë odorata (L.) P. Beauv.,Panarctic Flora Project Checklist
Anthoxanthum hirtum,Hierochloë odorata (L.) P. Beauv.,Panarctic Flora Project Checklist
Hierochloë odorata s. arctica,Hierochloë odorata ssp. arctica (J. Presl) Tzvelev,Panarctic Flora Project Checklist
Hierochloe pauciflora,Hierochloë pauciflora R. Br.,Panarctic Flora Project Checklist
Hierochloë  pauciflora,Hierochloë pauciflora R. Br.,Panarctic Flora Project Checklist
Hierochloë pauciflora,Hierochloë pauciflora R. Br.,Panarctic Flora Project Checklist
Hierochlo_ pauciflora,Hierochloë pauciflora R. Br.,Panarctic Flora Project Checklist
Hierochlo' pauciflora,Hierochloë pauciflora R. Br.,Panarctic Flora Project Checklist
Hierochloe pauciflora R. Br.,Hierochloë pauciflora R. Br.,Panarctic Flora Project Checklist
Hippuris montana,Hippuris montana Ledeb.,Panarctic Flora Project Checklist
Hippuris tetraphylla,Hippuris tetraphylla L. f.,Panarctic Flora Project Checklist
Hippuris vulgaris,Hippuris vulgaris L.,Panarctic Flora Project Checklist
Honckenya peploides,Honckenya peploides (L.) Ehrh.,Panarctic Flora Project Checklist
Hordeum jubatum [s. jubatum,Hordeum jubatum ssp. jubatum L.,Panarctic Flora Project Checklist
Hulteniella integrifolia,Hulteniella integrifolia (Richardson) Tzvelev,Panarctic Flora Project Checklist
Iris setosa,Iris setosa Pall. ex Link,Panarctic Flora Project Checklist
Iris setosa v. setosa,Iris setosa var. setosa Pall. ex Link,Panarctic Flora Project Checklist
Juncus albescens,Juncus albescens (Lange) Fernald,Panarctic Flora Project Checklist
Juncus triglumis,Juncus albescens (Lange) Fernald,Panarctic Flora Project Checklist
Juncus triglumis s.l.,Juncus albescens (Lange) Fernald,Panarctic Flora Project Checklist
Juncus triglumis L.,Juncus albescens (Lange) Fernald,Panarctic Flora Project Checklist
Juncus alpinoarticulatus,Juncus alpinoarticulatus Chaix,Panarctic Flora Project Checklist
Juncus arcticus s. alaskanus,Juncus arcticus ssp. alaskanus Hultén,Panarctic Flora Project Checklist
Juncus arcticus,Juncus arcticus Willd.,Panarctic Flora Project Checklist
Juncus biglumis,Juncus biglumis L.,Panarctic Flora Project Checklist
Juncus biglumis L.,Juncus biglumis L.,Panarctic Flora Project Checklist
Juncus bufonius,Juncus bufonius L.,Panarctic Flora Project Checklist
Juncus drummondii,Juncus drummondii E. Mey.,Panarctic Flora Project Checklist
Juncus filiformis,Juncus filiformis L.,Panarctic Flora Project Checklist
Juncus sp.,Juncus L.,Panarctic Flora Project Checklist
Juncus castaneus,Juncus leucochlamys V.J. Zinger ex V.I. Krecz.,Panarctic Flora Project Checklist
Juncus leucochlamys,Juncus leucochlamys V.J. Zinger ex V.I. Krecz.,Panarctic Flora Project Checklist
Juncus mertensianus,Juncus mertensianus Bong.,Panarctic Flora Project Checklist
Kalmia procumbens,"Kalmia procumbens (L.) Gift, Kron & P.F. Stevens ex Galasso, Banfi & F. Conti",Panarctic Flora Project Checklist
Loiseleuria procumbens,"Kalmia procumbens (L.) Gift, Kron & P.F. Stevens ex Galasso, Banfi & F. Conti",Panarctic Flora Project Checklist
Loiseleuria procumbens (L.) Desv.,"Kalmia procumbens (L.) Gift, Kron & P.F. Stevens ex Galasso, Banfi & F. Conti",Panarctic Flora Project Checklist
Koeleria asiatica,Koeleria asiatica Domin,Panarctic Flora Project Checklist
Koenigia islandica,Koenigia islandica L.,Panarctic Flora Project Checklist
Lagotis glauca,Lagotis glauca Gaertn.,Panarctic Flora Project Checklist
Lagotis glauca Gaertn.,Lagotis glauca Gaertn.,Panarctic Flora Project Checklist
Lagotis glauca s. glauca,Lagotis glauca ssp. glauca Gaertn.,Panarctic Flora Project Checklist
Lathyrus japonicus,Lathyrus japonicus Willd.,Panarctic Flora Project Checklist
Lathyrus japonicus var. maritimus,Lathyrus japonicus Willd.,Panarctic Flora Project Checklist
Lathyrus palustris,Lathyrus palustris L.,Panarctic Flora Project Checklist
Lemna trisulca,Lemna trisulca L.,Panarctic Flora Project Checklist
Leptarrhena pyrolifolia,Leptarrhena pyrolifolia (D. Don) R. Br. ex Ser.,Panarctic Flora Project Checklist
Leymus innovatus,Leymus innovatus (Beal) Pilg.,Panarctic Flora Project Checklist
Leymus innovatus s. velutinus,Leymus innovatus ssp. velutinus (Bowden) Tzvelev,Panarctic Flora Project Checklist
Leymus mollis,Leymus mollis (Trin.) Pilg.,Panarctic Flora Project Checklist
Leymus mollis s. villosissimus,Leymus mollis ssp. villosissimus (Scribn.) Á. Löve,Panarctic Flora Project Checklist
Leymus mollis ssp. villosissimus,Leymus mollis ssp. villosissimus (Scribn.) Á. Löve,Panarctic Flora Project Checklist
Ligusticum scothicum,Ligusticum scothicum L.,Panarctic Flora Project Checklist
Ligusticum scoticum,Ligusticum scothicum L.,Panarctic Flora Project Checklist
Limosella aquatica,Limosella aquatica L.,Panarctic Flora Project Checklist
Listera borealis,Listera borealis Morong,Panarctic Flora Project Checklist
Listera cordata,Listera cordata (L.) R. Br.,Panarctic Flora Project Checklist
Lomatogonium rotatum,Lomatogonium rotatum (L.) Fr. ex Fernald,Panarctic Flora Project Checklist
Lupinus arcticus,Lupinus arcticus S. Watson,Panarctic Flora Project Checklist
Lupinus arcticus [s. arcticus,Lupinus arcticus S. Watson,Panarctic Flora Project Checklist
Lupinus arcticus s. arcticus,Lupinus arcticus S. Watson,Panarctic Flora Project Checklist
Lupinus species,Lupinus L.,Panarctic Flora Project Checklist
Lupinus nootkatensis,Lupinus nootkatensis Donn ex Sims,Panarctic Flora Project Checklist
Luzula arcuata,Luzula arcuata (Wahlenb.) Sw.,Panarctic Flora Project Checklist
Luzula arcuata s. unalaschkensis,Luzula arcuata ssp. unalaschkensis (Buchenau) Hultén,Panarctic Flora Project Checklist
Luzula arcuata subsp. unalaschkensis,Luzula arcuata ssp. unalaschkensis (Buchenau) Hultén,Panarctic Flora Project Checklist
Luzula confusa,Luzula confusa Lindenb.,Panarctic Flora Project Checklist
Luzula confusa Lindeberg,Luzula confusa Lindenb.,Panarctic Flora Project Checklist
Luzula species,Luzula DC.,Panarctic Flora Project Checklist
Luzula sp.,Luzula DC.,Panarctic Flora Project Checklist
Luzula,Luzula DC.,Panarctic Flora Project Checklist
Luzula kjellmaniana,Luzula kjellmaniana Miyabe & Kudô,Panarctic Flora Project Checklist
Luzula multiflora,Luzula multiflora (Ehrh.) Lej.,Panarctic Flora Project Checklist
Luzula multiflora s. frigida,Luzula multiflora ssp. frigida (Buchenau) V.I. Krecz.,Panarctic Flora Project Checklist
Luzula multiflora s. multiflora,Luzula multiflora ssp. frigida (Buchenau) V.I. Krecz.,Panarctic Flora Project Checklist
Luzula nivalis,Luzula nivalis (Laest.) Beurling,Panarctic Flora Project Checklist
Luzula arctica,Luzula nivalis (Laest.) Beurling,Panarctic Flora Project Checklist
Luzula arctica Blytt,Luzula nivalis (Laest.) Beurling,Panarctic Flora Project Checklist
Luzula parviflora,Luzula parviflora (Ehrh.) Desv.,Panarctic Flora Project Checklist
Luzula parviflora s. parviflora,Luzula parviflora ssp. parviflora (Ehrh.) Desv.,Panarctic Flora Project Checklist
Luzula piperi,Luzula piperi (Coville) M.E. Jones,Panarctic Flora Project Checklist
Luzula rufescens,Luzula rufescens Fisch. ex E. Mey.,Panarctic Flora Project Checklist
Luzula wahlenbergii,Luzula wahlenbergii Rupr.,Panarctic Flora Project Checklist
Menyanthes trifoliata,Menyanthes trifoliata L.,Panarctic Flora Project Checklist
Mertensia maritima,Mertensia maritima (L.) Gray,Panarctic Flora Project Checklist
Mertensia paniculata [v. paniculata,Mertensia paniculata var. paniculata (Aiton) G. Don,Panarctic Flora Project Checklist
Mertensia paniculata v. paniculata,Mertensia paniculata var. paniculata (Aiton) G. Don,Panarctic Flora Project Checklist
Micranthes davurica,Micranthes calycina (Sternb.) Gornall & H. Ohba,Panarctic Flora Project Checklist
Micranthes foliolosa,Micranthes foliolosa (R. Br.) Gornall,Panarctic Flora Project Checklist
Saxifraga foliolosa s.l.,Micranthes foliolosa (R. Br.) Gornall,Panarctic Flora Project Checklist
Saxifraga foliolosa R. Br.,Micranthes foliolosa (R. Br.) Gornall,Panarctic Flora Project Checklist
Micranthes hieraciifolia,Micranthes hieraciifolia (Waldst. & Kit. ex Willd.) Haw.,Panarctic Flora Project Checklist
Saxifraga hieraciifolia,Micranthes hieraciifolia (Waldst. & Kit. ex Willd.) Haw.,Panarctic Flora Project Checklist
Saxifraga hieracifolia,Micranthes hieraciifolia (Waldst. & Kit. ex Willd.) Haw.,Panarctic Flora Project Checklist
Saxifraga hieraciifolia Waldst. & Kit. ex Willd. var. rufopilosa Hultén,Micranthes hieraciifolia (Waldst. & Kit. ex Willd.) Haw.,Panarctic Flora Project Checklist
Saxifraga hieraciifolia Waldst. & Kit. ex Willd.,Micranthes hieraciifolia (Waldst. & Kit. ex Willd.) Haw.,Panarctic Flora Project Checklist
Micranthes nelsoniana,Micranthes nelsoniana (D. Don) Small,Panarctic Flora Project Checklist
Micranthes punctata,Micranthes nelsoniana (D. Don) Small,Panarctic Flora Project Checklist
Saxifraga punctata s.l.,Micranthes nelsoniana (D. Don) Small,Panarctic Flora Project Checklist
Saxifraga nelsoniana D. Don,Micranthes nelsoniana (D. Don) Small,Panarctic Flora Project Checklist
Saxifraga punctata,Micranthes nelsoniana (D. Don) Small,Panarctic Flora Project Checklist
Micranthes nelsoniana s. nelsoniana,Micranthes nelsoniana ssp. nelsoniana (D. Don) Small,Panarctic Flora Project Checklist
Saxifraga nelsoniana D. Don ssp. nelsoniana,Micranthes nelsoniana ssp. nelsoniana (D. Don) Small,Panarctic Flora Project Checklist
Micranthes nivalis,Micranthes nivalis (L.) Small,Panarctic Flora Project Checklist
Micranthes reflexa,Micranthes reflexa (Hook.) Small,Panarctic Flora Project Checklist
Micranthes spicata,Micranthes spicata (D. Don) Small,Panarctic Flora Project Checklist
Micranthes tenuis,Micranthes tenuis (Wahlenb.) Small,Panarctic Flora Project Checklist
Moehringia lateriflora,Moehringia lateriflora (L.) Fenzl,Panarctic Flora Project Checklist
Moneses uniflora,Moneses uniflora (L.) A. Gray,Panarctic Flora Project Checklist
Montia vassilievii s. vassilievii,Montia vassilievii ssp. vassilievii (Kuzen.) McNeill,Panarctic Flora Project Checklist
Myosotis alpestris s. asiatica,Myosotis alpestris ssp. asiatica Vesterg.,Panarctic Flora Project Checklist
Myrica gale,Myrica gale L.,Panarctic Flora Project Checklist
Myriophyllum sibiricum,Myriophyllum sibiricum Kom.,Panarctic Flora Project Checklist
Myriophyllum verticillatum,Myriophyllum verticillatum L.,Panarctic Flora Project Checklist
Noccaea arctica,Noccaea arctica (A.E. Porsild) Holub,Panarctic Flora Project Checklist
Nuphar polysepala,Nuphar polysepala Engelm.,Panarctic Flora Project Checklist
Orthilia obtusata,Orthilia obtusata (Turcz.) H. Hara,Panarctic Flora Project Checklist
Orthilia secunda,Orthilia secunda (L.) House,Panarctic Flora Project Checklist
Pyrola secunda s.l.,Orthilia secunda (L.) House,Panarctic Flora Project Checklist
Orthilia secunda (L.) House,Orthilia secunda (L.) House,Panarctic Flora Project Checklist
Oxycoccus microcarpus,Oxycoccus microcarpus Turcz. ex Rupr.,Panarctic Flora Project Checklist
Oxycoccus palustris,Oxycoccus palustris Pers.,Panarctic Flora Project Checklist
Vaccinium oxycoccos,Oxycoccus palustris Pers.,Panarctic Flora Project Checklist
Oxyria digyna,Oxyria digyna (L.) Hill,Panarctic Flora Project Checklist
Oxytropis arctica,Oxytropis arctica R. Br.,Panarctic Flora Project Checklist
Oxytropis borealis,Oxytropis borealis DC.,Panarctic Flora Project Checklist
Oxytropis bryophila,Oxytropis bryophila (Greene) Jurtsev,Panarctic Flora Project Checklist
Oxytropis nigrescens,Oxytropis bryophila (Greene) Jurtsev,Panarctic Flora Project Checklist
Oxytropis nigrescens s. bryophila,Oxytropis bryophila (Greene) Jurtsev,Panarctic Flora Project Checklist
Oxytropis species,Oxytropis DC.,Panarctic Flora Project Checklist
Oxytropis sp.,Oxytropis DC.,Panarctic Flora Project Checklist
Oxytropis deflexa,Oxytropis deflexa (Pall.) DC.,Panarctic Flora Project Checklist
Oxytropis deflexa s. dezhnevii,Oxytropis deflexa ssp. dezhnevii (Jurtz.) Jurtz.,Panarctic Flora Project Checklist
Oxytropis deflexa subsp. foliolosa,Oxytropis deflexa ssp. dezhnevii (Jurtz.) Jurtz.,Panarctic Flora Project Checklist
Oxytropis gorodkovii,Oxytropis gorodkovii Jurtz.,Panarctic Flora Project Checklist
Oxytropis jordalii,Oxytropis jordalii A.E. Porsild,Panarctic Flora Project Checklist
Oxytropis campestris ssp. jordalii,Oxytropis jordalii A.E. Porsild,Panarctic Flora Project Checklist
Oxytropis kokrinensis,Oxytropis kokrinensis A.E. Porsild,Panarctic Flora Project Checklist
Oxytropis maydelliana,Oxytropis maydelliana Trautv.,Panarctic Flora Project Checklist
Oxytropis mertensiana,Oxytropis mertensiana Turcz.,Panarctic Flora Project Checklist
Oxytropis scammaniana,Oxytropis scammaniana Hultén,Panarctic Flora Project Checklist
Oxytropis campestris v. varians,Oxytropis varians (Rydb.) K. Schum.,Panarctic Flora Project Checklist
Oxytropis varians,Oxytropis varians (Rydb.) K. Schum.,Panarctic Flora Project Checklist
Oxytropis campestris s.l.,Oxytropis varians (Rydb.) K. Schum.,Panarctic Flora Project Checklist
Oxytropis viscida,Oxytropis viscida Nutt.,Panarctic Flora Project Checklist
Packera heterophylla,Packera heterophylla (Fisch.) E. Wiebe,Panarctic Flora Project Checklist
Packera hyperborealis,Packera hyperborealis (Greenm.) Á. Löve & D. Löve,Panarctic Flora Project Checklist
Senecio hyperborealis,Packera hyperborealis (Greenm.) Á. Löve & D. Löve,Panarctic Flora Project Checklist
Packera ogotorukensis,Packera ogotorukensis (Packer) Á. Löve & D. Löve,Panarctic Flora Project Checklist
Papaver gorodkovii,Papaver gorodkovii Tolm. & V.V. Petrovsky,Panarctic Flora Project Checklist
Papaver hultenii,Papaver hultenii Knaben,Panarctic Flora Project Checklist
Papaver lapponicum,Papaver hultenii Knaben,Panarctic Flora Project Checklist
Papaver species,Papaver L.,Panarctic Flora Project Checklist
Papaver macounii,Papaver macounii Greene,Panarctic Flora Project Checklist
Papaver walpolei,Papaver walpolei A.E. Porsild,Panarctic Flora Project Checklist
